NoB,time,realRT,accuracy,realAccuracy,threshold,connection,startAtSmall,participant,Structure,trial,trueConnection
7,10,9.013,1,1,4,a,0,jtdzsxkh2scccvw,Query,34,0
7,10,8.192,1,1,4,a,0,jtdzsxkh2scccvw,Query,35,0
4,7,2.442,1,1,7,a,0,q3rm4bg3z295hv5,Query,1,0
1,1,0.665,1,1,7,a,0,q3rm4bg3z295hv5,Query,2,0
3,5,1.999,1,1,7,a,0,q3rm4bg3z295hv5,Query,3,0
5,9,7.333,1,1,7,a,0,q3rm4bg3z295hv5,Query,4,0
5,9,5.347,1,1,6,a,0,q3rm4bg3z295hv5,Query,5,0
2,3,1.162,1,1,6,a,0,q3rm4bg3z295hv5,Query,6,0
1,1,0.74,1,1,6,a,0,q3rm4bg3z295hv5,Query,7,0
3,5,1.452,1,1,6,a,0,q3rm4bg3z295hv5,Query,8,0
3,5,1.575,1,1,6,a,0,q3rm4bg3z295hv5,Query,9,0
7,12,12.86,1,1,6,a,0,q3rm4bg3z295hv5,Query,10,0
4,7,3.784,1,1,6,a,0,q3rm4bg3z295hv5,Query,11,0
5,9,5.651,1,1,6,a,0,q3rm4bg3z295hv5,Query,12,0
6,11,13.442,1,1,6,a,0,q3rm4bg3z295hv5,Query,13,0
7,12,9.038,1,1,5,a,0,q3rm4bg3z295hv5,Query,14,0
5,9,4.611,1,1,5,a,0,q3rm4bg3z295hv5,Query,15,0
3,5,2.366,1,1,5,a,0,q3rm4bg3z295hv5,Query,16,0
2,3,2.248,1,1,5,a,0,q3rm4bg3z295hv5,Query,17,0
6,10,8.488,1,1,5,a,0,q3rm4bg3z295hv5,Query,18,0
4,7,3.564,1,1,5,a,0,q3rm4bg3z295hv5,Query,19,0
5,9,8.036,1,1,5,a,0,q3rm4bg3z295hv5,Query,20,0
1,1,0.838,1,1,5,a,0,q3rm4bg3z295hv5,Query,21,0
6,10,15.624,1,1,5,a,0,q3rm4bg3z295hv5,Query,22,0
1,1,0.944,1,1,5,a,0,q3rm4bg3z295hv5,Query,23,0
3,5,1.987,1,1,5,a,0,q3rm4bg3z295hv5,Query,24,0
7,11,12.325,1,1,5,a,0,q3rm4bg3z295hv5,Query,25,0
4,7,3.754,1,1,4,a,0,q3rm4bg3z295hv5,Query,26,0
2,3,2.738,1,1,4,a,0,q3rm4bg3z295hv5,Query,27,0
6,9,13.571,1,1,4,a,0,q3rm4bg3z295hv5,Query,28,0
4,7,3.471,1,1,4,a,0,q3rm4bg3z295hv5,Query,29,0
2,3,3.024,1,1,4,a,0,q3rm4bg3z295hv5,Query,30,0
2,3,2.334,1,1,4,a,0,q3rm4bg3z295hv5,Query,31,0
7,10,18.516,1,1,4,a,0,q3rm4bg3z295hv5,Query,32,0
1,1,0.87,1,1,4,a,0,q3rm4bg3z295hv5,Query,33,0
7,10,8.048,1,1,4,a,0,q3rm4bg3z295hv5,Query,34,0
6,9,1.138,1,0,4,a,0,q3rm4bg3z295hv5,Query,35,0
2,3,0.685,1,0,7,a,0,y0g9hknjyys0m49,Query,1,0
6,11,5.816,1,1,7,a,0,y0g9hknjyys0m49,Query,2,0
6,11,3.159,1,1,7,a,0,y0g9hknjyys0m49,Query,3,0
1,1,0.611,1,1,7,a,0,y0g9hknjyys0m49,Query,4,0
5,9,8.794,1,1,6,a,0,y0g9hknjyys0m49,Query,5,0
5,9,5.615,1,1,6,a,0,y0g9hknjyys0m49,Query,6,0
4,7,5.225,1,1,6,a,0,y0g9hknjyys0m49,Query,7,0
3,5,1.16,1,1,6,a,0,y0g9hknjyys0m49,Query,8,0
7,12,8.501,1,1,6,a,0,y0g9hknjyys0m49,Query,9,0
2,3,0.696,1,1,6,a,0,y0g9hknjyys0m49,Query,10,0
3,5,0.452,1,1,6,a,0,y0g9hknjyys0m49,Query,11,0
7,12,4.656,1,1,6,a,0,y0g9hknjyys0m49,Query,12,0
4,7,2.572,1,1,5,a,0,y0g9hknjyys0m49,Query,13,0
4,7,3.389,1,1,5,a,0,y0g9hknjyys0m49,Query,14,0
2,3,0.864,1,1,5,a,0,y0g9hknjyys0m49,Query,15,0
4,7,29.872,1,1,5,a,0,y0g9hknjyys0m49,Query,16,0
2,3,0.731,1,1,5,a,0,y0g9hknjyys0m49,Query,17,0
7,11,7.877,1,1,5,a,0,y0g9hknjyys0m49,Query,18,0
1,1,0.419,1,1,5,a,0,y0g9hknjyys0m49,Query,19,0
1,1,0.392,1,1,5,a,0,y0g9hknjyys0m49,Query,20,0
7,11,16.408,1,1,5,a,0,y0g9hknjyys0m49,Query,21,0
7,11,5.095,1,1,5,a,0,y0g9hknjyys0m49,Query,22,0
4,7,2.304,1,1,5,a,0,y0g9hknjyys0m49,Query,23,0
5,9,2.098,1,1,5,a,0,y0g9hknjyys0m49,Query,24,0
5,9,7.347,1,1,4,a,0,y0g9hknjyys0m49,Query,25,0
3,5,1.216,1,1,4,a,0,y0g9hknjyys0m49,Query,26,0
2,3,0.426,1,1,4,a,0,y0g9hknjyys0m49,Query,27,0
6,9,16.547,1,1,4,a,0,y0g9hknjyys0m49,Query,28,0
1,1,0.41,1,1,4,a,0,y0g9hknjyys0m49,Query,29,0
6,9,2.663,1,1,4,a,0,y0g9hknjyys0m49,Query,30,0
1,1,0.302,1,1,4,a,0,y0g9hknjyys0m49,Query,31,0
3,5,7.11,1,1,4,a,0,y0g9hknjyys0m49,Query,32,0
6,9,3.47,1,1,4,a,0,y0g9hknjyys0m49,Query,33,0
5,8,1.332,1,1,4,a,0,y0g9hknjyys0m49,Query,34,0
3,5,1.221,1,1,4,a,0,y0g9hknjyys0m49,Query,35,0
6,11,4.018,1,1,7,a,0,uet3pdw7hgm1hea,Query,1,0
4,7,5.526,1,1,7,a,0,uet3pdw7hgm1hea,Query,2,0
7,13,6.229,1,1,7,a,0,uet3pdw7hgm1hea,Query,3,0
2,3,4.316,1,1,6,a,0,uet3pdw7hgm1hea,Query,4,0
