NoB,time,realRT,accuracy,realAccuracy,trueConnection,participant,Structure,trial
6,11,0.811,0.5559380378657487,1,a,uet3pdw7hgm1hea,Query,1
4,7,1.706,0.7314241486068112,1,a,uet3pdw7hgm1hea,Query,2
7,13,1.455,0.27724867724867724,1,a,uet3pdw7hgm1hea,Query,3
2,3,-0.502,0.9389312977099237,1,a,uet3pdw7hgm1hea,Query,4
1,1,-0.884,1,1,a,uet3pdw7hgm1hea,Query,5
7,13,0.899,0.6519823788546255,1,a,uet3pdw7hgm1hea,Query,6
7,13,3.499,0.7297297297297297,1,a,uet3pdw7hgm1hea,Query,7
3,5,2.004,0.9907407407407407,1,a,uet3pdw7hgm1hea,Query,8
4,7,1.168,0.8207547169811321,1,a,uet3pdw7hgm1hea,Query,9
2,3,0.415,0.9310344827586207,1,a,uet3pdw7hgm1hea,Query,10
7,10,-0.341,0.9506172839506173,1,a,uet3pdw7hgm1hea,Query,11
5,8,0.012,0.7532467532467533,1,a,uet3pdw7hgm1hea,Query,12
2,3,1.038,0.9655172413793104,1,a,uet3pdw7hgm1hea,Query,13
4,7,1.579,0.9821428571428571,1,a,uet3pdw7hgm1hea,Query,14
6,9,-0.851,0.8,1,a,uet3pdw7hgm1hea,Query,15
6,9,-2.657,0.7727272727272727,1,a,uet3pdw7hgm1hea,Query,16
4,7,2.093,1,1,a,uet3pdw7hgm1hea,Query,17
1,1,0.815,1,1,a,uet3pdw7hgm1hea,Query,18
3,4,13.333,0.9375,1,a,uet3pdw7hgm1hea,Query,19
2,3,0.302,1,1,a,uet3pdw7hgm1hea,Query,20
3,4,9.299,0.9655172413793104,1,a,uet3pdw7hgm1hea,Query,21
